"c_input","DPM","RPM","BIO","HUM","IOM","SOC","ID","error"
4.8,0.115260621984731,2.32321162592478,0.35424166174074,13.7370325364508,14.2946243286133,30.8243707747143,"OD03_3",0.0136371286349956
5.4,0.129668051308267,2.61359741363846,0.389524362129648,15.1052230038465,12.5591850280762,30.7971978589991,"OD03_4",4.05539071106915e-06
6.2,0.148878335657707,3.00081416496637,0.436344598194942,16.9207651204283,12.9390029907227,33.44580520997,"OD03_5",1.22335913320029e-05
4.6,0.110458044470659,2.22640194591339,0.34701931135983,13.4570262567533,13.9680061340332,30.1089116925304,"OD03_6",0.00640419395385997
7.6,0.182496411206279,3.67841955055026,0.5348743298532,20.7415948389957,12.7039928436279,37.8413779742334,"OD03_7",0.0174364123699483
6,0.144075910386571,2.90400970307857,0.448637957775602,17.3976275223932,15.5592308044434,36.4535818980773,"OD03_8",0.00153196591323514
5.4,0.129668051308267,2.61359741363846,0.408987745381598,15.8600972498207,12.4923505783081,31.5047010384571,"OD03_9",0.00984701659152917
5.9,0.141674798632548,2.85560999309493,0.436648477169306,16.9326689186917,16.158670425415,36.5252726130035,"OD03_10",0.000388197303798127
6,0.144075910386571,2.90400970307857,0.442801309022602,17.1712572707229,12.5161056518555,33.1782498450661,"OD03_11",0.00146759952691598
4.9,0.117661900401935,2.37161219711494,0.368878772024355,14.3046811570865,15.6257152557373,32.788549282365,"OD03_12",0.0304060485423661
5.4,0.129668051308267,2.61359741363846,0.412562739436959,15.9987511869697,13.7788753509521,32.9334547423055,"OD04_1",0.0119139620812874
6.6,0.158483537062823,3.19441395075651,0.481109476540742,18.6567716014332,13.4627208709717,35.9534994367649,"OD04_2",0.00568022601966825
6.3,0.151279682517901,3.04921131677335,0.468743208851861,18.1772799873358,14.3438949584961,36.190409153975,"OD04_3",0.00207381877671615
5.4,0.129668051308267,2.61359741363846,0.406516939682419,15.7642686071788,16.6597213745117,35.5737723863197,"OD04_4",0.0185791563552002
6.4,0.15368095703557,3.09761066178595,0.482810706586611,18.7228288849931,17.0508422851562,39.5077734955574,"OD04_5",0.00600067475125033
5.1,0.122464598609634,2.46841145489661,0.39083408890699,15.1561191025919,15.152738571167,33.2905678161721,"OD04_6",0.0196028822099583
4.2,0.100852947134413,2.0328075216369,0.319275355716296,12.3811377253332,16.9824256896973,31.816499239518,"OD04_7",0.0305914751638229
6.9,0.165687302502875,3.33961242409255,0.52716597006029,20.4429189273854,14.0115127563477,38.4868973803888,"OD04_8",0.00132838002897753
6.9,0.165687302502875,3.33961242409255,0.506203110513755,19.6298888157411,14.4690723419189,38.1104639947692,"OD04_9",0.0184450054477578
5.6,0.134470884766116,2.71040419489612,0.420658268759271,16.3126370194727,15.3757381439209,34.9539085118151,"OD04_10",0.0126243276923515
8,0.192101325763799,3.87202333361006,0.579171942047913,22.4594707949074,14.8577880859375,41.9605554822667,"OD05_1",0.00697571321063635
7.6,0.182496411206279,3.67841955055026,0.569608435683211,22.0887310251288,16.8889961242676,43.4082515468362,"OD05_2",0.0183996239060863
7.3,0.175292276104231,3.53321742083849,0.548360023415591,21.2647375230153,15.2406921386719,40.7622993820455,"OD05_3",0.000470575937119825
5.7,0.136872119491667,2.75880702744377,0.39339230160854,15.2550917404672,16.7982368469238,35.342400035935,"OD05_4",2.99389637229279e-05
5.9,0.141674798632548,2.85560999309493,0.45146539602821,17.5073329829208,14.3043251037598,35.2604082744362,"OD05_5",0.00922599139005555
5.5,0.132069671270258,2.66200401088914,0.407044369738313,15.7846726205892,15.8266258239746,34.8124164964616,"OD05_6",0.0222421285031717
6.6,0.158483537062823,3.19441395075651,0.497899003796652,19.3079415302037,15.8454465866089,39.0041846084285,"OD05_7",0.00481044603148018
9.8,0.235324136259916,4.74323669758202,0.721137500788916,27.9647731155689,16.056640625,49.7211120751998,"OD05_8",0.0210491329101603
