Longitude,Latitude,ID,Sample.Date,ROC,HOC,POC,SOC,Sand,Clay,FC
150.0818403,-29.24302083,OD03_12,17/05/2020,15.625715255737305,23.220331549067005,3.4648067951202393,32.61417598010126,58,34.5,0.30106155430000003
150.0449653,-29.21927083,OD04_1,17/05/2020,13.778875350952148,23.3800117998897,3.294182538986206,32.82430364482461,53.5,38.5,0.31421310215
150.0489931,-29.22100694,OD04_2,17/05/2020,13.46272087097168,21.31336564085771,3.0875535011291504,36.02886671096048,63.5,28.5,0.2858340309
150.0397569,-29.22114583,OD04_3,17/05/2020,14.343894958496094,21.501423815802436,2.8170809745788574,36.14486995353502,61,32,0.29220663439999994
150.0273264,-29.22142361,OD04_4,17/05/2020,16.65972137451172,23.433786452019454,3.4457666873931885,35.437467007279814,56,34.5,0.31269006145
150.0842708,-29.22315972,OD04_5,17/05/2020,17.05084228515625,23.998587867615072,3.6266512870788574,39.43030947325515,50,35,0.341165818
150.0585069,-29.2246875,OD04_6,17/05/2020,15.152738571166992,22.44484703529262,3.101924419403076,33.15055752294353,51.5,39.5,0.32121989055
150.0994097,-29.22802083,OD04_7,17/05/2020,16.982425689697266,25.061668871728706,3.9067697525024414,31.641595050992375,49,37,0.3410752856
150.0702431,-29.23045139,OD04_8,17/05/2020,14.011512756347656,20.682106501962814,2.9349112510681152,38.52334432853231,49.5,38.5,0.33396882154999996
150.0868403,-29.23065972,OD04_9,17/05/2020,14.469072341918945,21.346146045676363,2.905766725540161,38.246276385395966,58.5,29.5,0.31283211904999997
150.0987847,-29.23190972,OD04_10,17/05/2020,15.375738143920898,22.74897130361821,3.307046890258789,34.84155047831349,53.5,34,0.32719237039999993
150.0585069,-29.20017361,OD05_1,17/05/2020,14.8577880859375,23.79066932345902,3.7671561241149902,42.04407621748038,64,27.5,0.28770960965
150.0751736,-29.20364583,OD05_2,17/05/2020,16.888996124267578,23.526610620692665,3.891857624053955,43.27260633348132,58.5,33.5,0.3026336768
150.0710069,-29.2103125,OD05_3,17/05/2020,15.240692138671875,22.890525397291213,3.2514328956604004,40.740606619724375,53,34,0.3290320632
150.0854514,-29.2103125,OD05_4,17/05/2020,16.798236846923828,24.44951453876073,3.634227991104126,35.336928385021146,70,22,0.2663504552
150.0607986,-29.2134375,OD05_5,17/05/2020,14.304325103759766,23.5981200790196,3.33768367767334,35.164356250042886,48.5,39,0.33870239474999997
150.0671181,-29.21496528,OD05_6,17/05/2020,15.82662582397461,23.25045452391823,3.5095510482788086,34.96155444771197,55.5,31,0.3223882696
150.0748264,-29.21579861,OD05_7,17/05/2020,15.845446586608887,23.605342730173653,3.4054441452026367,39.073541987498686,51,35,0.3368034914
150.0862153,-29.21649306,OD05_8,17/05/2020,16.056640625,23.199738989053053,3.226292610168457,49.86619526826554,51,30,0.34391220159999997
